Area Code,Frequency,State
815,215953,Illinois
909,215855,California
818,205544,California
951,200008,California
310,196183,California
847,195925,Illinois
720,188285,Colorado
323,168565,California
347,166374,New York
917,165420,New York
954,153522,Florida
315,147447,New York
716,144939,New York
618,144280,Illinois
303,139265,Colorado
617,138821,Massachusetts
518,138043,New York
217,135837,Illinois
510,130531,California
786,117906,Florida
914,116632,New York
970,115378,Colorado
415,108883,California
305,104415,Florida
719,102932,Colorado
646,96646,New York
650,94430,California
312,70709,Illinois
203,60629,Connecticut
718,51086,New York
857,41857,Massachusetts
480,35631,Arizona
864,33034,South Carolina
330,32721,Ohio
870,28940,Arkansas
208,26827,Idaho
757,21170,Virginia
213,13705,California
740,11597,Ohio
209,11356,California
206,10623,Washington
754,10131,Florida
207,10126,Maine
318,9842,Louisiana
317,8151,Indiana
479,7300,Arkansas
204,7211,Manitoba
320,7162,Minnesota
734,7077,Michigan
609,6952,New Jersey
484,6314,Pennsylvania
212,3969,New York
610,3930,Pennsylvania
607,3437,New York
321,3258,Florida
929,2651,New York
863,2642,Florida
760,2523,California
608,2217,Wisconsin
325,1542,Texas
478,1396,Georgia
205,825,Alabama
606,565,Kentucky
331,512,Illinois
732,507,New Jersey
605,375,South Dakota
865,263,Tennessee
475,253,Connecticut
319,198,Iowa
470,163,Georgia
612,103,Minnesota
747,84,California
867,31,"Yukon, Northwest Territories, and Nunavut"
202,3,District of Columbia
762,2,Georgia
469,1,Texas
